,id,uuid,session_id,utm_source,utm_medium,utm_campaign,hotel_id
338,4614,707760954.1720088048,1726684015,facebook,cpc,campaign_1,hotel_3
339,4615,1708905844.1726683787,1726684018,(direct),(not set),(not set),hotel_3
340,4616,1973902628.1726684222,1726684282,google,cpc,(not set),hotel_3
341,4617,1906495683.1726684298,1726684332,google,cpc,(not set),hotel_3
342,4618,1235508386.1726684369,1726684470,google,cpc,(not set),hotel_3
343,4619,1942239002.1726684438,1726684597,google,organic,(not set),hotel_3
344,4620,1397019767.1726685308,1726685358,google,cpc,(not set),hotel_3
345,4621,1835570403.1726685426,1726685493,facebook,cpc,campaign_1,hotel_3
346,4622,721681927.1726685396,1726685505,google,cpc,(not set),hotel_3
347,4623,629668278.1723931789,1726685602,google,cpc,(not set),hotel_3
348,4624,1374503601.1726668644,1726685832,google,cpc,(not set),hotel_3
349,4625,1163725701.1724692086,1726686285,google,cpc,(not set),hotel_3
350,4626,942201327.1726686071,1726686408,google,organic,(not set),hotel_3
351,4627,1250998674.1726686439,1726686493,redir.d-edgeconnect.media,referral,(not set),hotel_3
352,4628,1161620425.1725109605,1726686515,google,cpc,(not set),hotel_3
353,4629,438496759.1725997780,1726686552,google,cpc,(not set),hotel_3
354,4630,1946788945.1726686587,1726686646,google,cpc,(not set),hotel_3
355,4631,92631409.1725679586,1726686799,bing,cpc,campaign_2,hotel_3
356,4632,161094948.1726686790,1726686816,google,cpc,(not set),hotel_3
357,4633,1413975714.1726578402,1726686946,google,cpc,(not set),hotel_3
358,4634,851407364.1726686818,1726686956,google,cpc,(not set),hotel_3
359,4635,1288787096.1724600315,1726686979,google,cpc,(not set),hotel_3
360,4636,602702079.1726686931,1726687019,google,cpc,(not set),hotel_3
361,4637,1679792748.1726687061,1726687104,google,cpc,(not set),hotel_3
362,4639,1463132122.1726687601,1726687702,(direct),(not set),(not set),hotel_3
363,4640,1278456450.1726687663,1726687756,google,cpc,(not set),hotel_3
364,4641,1714074507.1726687413,1726688031,facebook,cpc,campaign_1,hotel_3
365,4642,233025392.1726687977,1726688113,google,cpc,(not set),hotel_3
366,4643,460761242.1722078582,1726688155,google,cpc,(not set),hotel_3
367,4644,1626179.1726688263,1726688378,,nan,(not set),hotel_3
368,4645,16291198.1726688351,1726688399,(direct),(not set),(not set),hotel_3
369,4646,2011067689.1726688404,1726688504,google,cpc,(not set),hotel_3
370,4647,1858794051.1724910885,1726688548,google,cpc,(not set),hotel_3
371,4648,1024299705.1726688681,1726688713,google,cpc,(not set),hotel_3
372,4649,1870433323.1726688736,1726688743,google,cpc,(not set),hotel_3
373,4650,1131130030.1725904041,1726688752,,nan,(not set),hotel_3
